,Target variable,Score
0,0,1.2117166e-06
1,0,2.7345472e-05
2,0,9.853801e-07
3,0,8.763819e-07
4,0,5.514295e-08
5,0,8.628508e-07
6,0,3.0325304e-05
7,0,3.7338896e-07
8,0,2.589939e-07
9,0,2.474436e-07
10,0,1.5343933e-07
11,0,8.724535e-06
12,0,7.226977e-05
13,0,1.7413471e-07
14,0,1.8018413e-07
15,0,2.775153e-08
16,0,2.6311784e-05
17,0,4.091281e-07
18,0,0.00048398192
19,0,3.223019e-07
20,0,8.976721e-05
21,0,2.4077775e-07
22,0,1.1889159e-06
23,0,7.4026666e-08
24,0,3.397126e-07
25,0,4.1810478e-07
26,0,4.413668e-06
27,0,4.722091e-06
28,0,1.2322524e-06
29,0,6.389597e-08
30,0,2.0994827e-05
31,0,4.3990276e-06
32,0,1.2382422e-07
33,0,3.380908e-07
34,0,1.2426988e-05
35,0,6.9796477e-07
36,0,0.00092587475
37,0,1.3893449e-05
38,0,5.918265e-08
39,0,1.1081885e-05
40,0,3.0545436e-06
41,0,7.746964e-06
42,0,8.929565e-06
43,0,1.4383464e-05
44,0,1.7737335e-06
45,0,1.2372679e-08
46,0,1.0828552e-05
47,0,6.0231073e-06
48,0,2.6498967e-07
49,0,6.166446e-06
50,0,1.0007162e-06
51,0,3.5180432e-07
52,0,3.6939056e-07
53,0,2.1307399e-06
54,0,1.5617553e-07
55,0,1.5649341e-06
56,0,6.625945e-05
57,0,6.076602e-06
58,0,2.0831528e-06
59,0,3.1231916e-06
60,0,5.5149314e-07
61,0,1.4224453e-05
62,0,5.5306896e-07
63,0,1.443399e-05
64,0,2.237048e-06
65,0,2.5056127e-07
66,0,2.331205e-06
67,0,2.3087756e-08
68,0,4.242249e-06
69,0,3.0966182e-06
70,0,9.2298956e-07
71,0,1.4552153e-06
72,0,5.0453696e-07
73,0,2.2208854e-07
74,0,4.0658106e-06
75,0,1.9715487e-06
76,0,5.5108844e-06
77,0,3.1722384e-06
78,0,2.9124571e-06
79,0,3.7153262e-07
80,0,7.1966946e-07
81,0,9.9665005e-05
82,0,3.1634343e-05
83,0,4.143023e-07
84,0,5.298847e-06
85,0,3.4676452e-07
86,0,9.542856e-07
87,0,1.3939888e-05
88,0,2.4282616e-07
89,0,2.1034093e-06
90,0,2.178184e-06
91,0,3.8026639e-07
92,0,1.2047317e-06
93,0,8.677007e-06
94,0,2.5798298e-07
95,0,1.2994958e-07
96,0,9.2846665e-07
97,0,1.4052766e-06
98,0,1.1504566e-05
99,0,5.87035e-06
100,0,2.0743232e-06
101,0,2.2863895e-07
102,0,4.3855916e-08
103,0,3.7281463e-06
104,0,1.9312815e-06
105,0,9.668153e-07
106,0,1.3467915e-06
107,0,7.897822e-06
108,0,1.3830881e-05
109,0,2.4510862e-06
110,0,9.2610105e-07
111,0,3.6802596e-06
112,0,4.0790624e-06
113,0,1.6150436e-05
114,0,5.459717e-07
115,0,2.1386204e-06
116,0,1.0334229e-05
117,0,0.01200859
118,0,1.5726436e-06
119,0,4.1087668e-07
120,0,1.3782919e-06
121,0,5.0640926e-07
122,0,8.795177e-06
123,0,4.595663e-06
124,0,7.728492e-07
125,0,1.6786184e-07
126,0,4.7983023e-05
127,0,2.7253416e-08
128,0,1.1326585e-05
129,0,7.3022616e-06
130,0,1.4050313e-06
131,0,2.9190787e-07
132,0,3.412052e-07
133,0,0.00015025417
134,0,2.2203697e-06
135,0,6.621864e-06
136,0,7.2881477e-07
137,0,2.0053584e-07
138,0,4.5468237e-08
139,0,2.7743261e-05
140,0,2.0719308e-05
141,0,7.226386e-08
142,0,4.7581457e-07
143,0,3.6634955e-08
144,0,3.6352296e-06
145,0,1.9930033e-06
146,0,9.021788e-07
147,0,3.2264097e-06
148,0,3.1614196e-05
149,0,5.9756665e-05
150,0,0.0010181303
151,0,2.2801838e-07
152,0,7.5364704e-07
153,0,6.044278e-08
154,0,5.4695793e-06
155,0,6.6301783e-07
156,0,1.5765764e-07
157,0,1.1917565e-05
158,0,1.8341021e-05
159,0,7.81316e-07
160,0,9.10275e-07
161,0,8.6325024e-08
162,0,8.7430266e-08
163,0,5.086089e-06
164,0,9.7536066e-08
165,0,2.3867221e-06
166,0,3.6806938e-05
167,0,1.8150747e-07
168,0,2.407227e-06
169,0,3.8543857e-07
170,0,0.0075552207
171,0,3.8286709e-07
172,0,1.5450804e-06
173,0,4.2682014e-08
174,0,3.3323882e-08
175,0,2.2452717e-07
176,0,8.969636e-05
177,0,6.5976274e-06
178,0,4.905769e-07
179,0,3.1682794e-07
180,0,3.088278e-06
181,0,7.880569e-07
182,0,6.848443e-06
183,0,1.6955653e-07
